Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
FECHA:;20-OCT-14 10:29:34
;USUARIO: KG000211
;(inf_operbenefi.rdf)
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV REINO UNIDO 2010 - WFS TRADE FAIR;29.195,64;29.195,64;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6-FOOD - HOTEL ASIA´10-SINGAPUR-EQ.HOSTELERÍA;4.006,98;4.006,98;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 FOODEX 2010, Tokio (PC);2.905,18;2.905,18;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPROM - PLAN LIBRO ESPAÑOL EN U.K. 2010;4.306,74;4.306,74;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);MINV1 F.ALIMENTARIA 2010 BARNA;3.800,45;3.800,45;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 PRODEXPO 2010 - MOSCU;1.145,71;1.145,71;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO - BAUMA CHINA 2010 - SHANGHAI (R.P. CHINA);46.318,04;46.318,04;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);EE ESPAÑA-ISRAEL 2010 (OFECOMES)COMPLEMENTARIA;606,30;606,30;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2)CTIA WIRELESS 2010-LAS VEGAS-NEVADA(EE.UU);14.561,25;14.561,25;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 - COLLECTION PREMIERE I - MOSCU - 2010;40.594,33;40.594,33;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 - SIAM 2010 - MEQUINEZ (MARRUECOS);5.461,27;5.461,27;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV PAÍSES BAJOS 2010;7.102,75;7.102,75;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV PAÍSES BAJOS 2010 - PÁGINA WEB;4.745,99;4.745,99;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV PAÍSES BAJOS 2010 -CONCURSO PERSWIJN (PI);3.083,36;3.083,36;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2- INTERAUTO 2010 - MOSCÚ (RUSIA);13.917,34;13.917,34;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 GULFOOD 2010 - DUBAI;39.286,39;39.286,39;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 ISM 2010, COLONIA (PC);23.908,96;23.908,96;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV REINO UNIDO 2010-HONORAR.AGENCIA DILLON MORR.;7.646,72;7.646,72;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV REINO UNIDO 2010 - WEB WINES FROM SPAIN;2.431,02;2.431,02;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 FOODEX 2010, TOKIO (PC);24.704,04;24.704,04;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 PRODEXPO 2010 - MOSCU;31.666,27;31.666,27;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(1)LICENSING INTERNATIONAL EXPO-10;6.256,21;6.256,21;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 GULFOOD 2010 - Dubai;513,26;513,26;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP04-LONDON WINE 2010 - LONDRES (PC);4.045,22;4.045,22;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 ALIMENTARIA 2010, MÉXICO;2.433,28;2.433,28;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(1)GAME CONNECTION 2010-SAN FRANCISCO (EEUU);2.728,65;2.728,65;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO8-FOOD - HOTEL ASIA´10-SINGAPUR-EQ.HOSTELERÍA;677,06;677,06;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO ICFF 2010 - DECORACIÓN (2);63.248,44;63.248,44;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO ICFF 2010 - TRANSPORTE Y DESPLAZAMIENTOS (1);3.474,41;3.474,41;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO ICFF 2010 - SUMINISTROS Y PROMOCION (3);19.045,36;19.045,36;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 HOSPITALITY - DESIGN 2010 - LAS VEGAS EE.UU.;6.836,10;6.836,10;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 HOSPITALITY - DESIGN 2010 - LAS VEGAS EE.UU.;43.205,82;43.205,82;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF1 CARBON EXPO 2010 COLONIA (ALEMANIA);4.054,39;4.054,39;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF5 - COSMOPROF 2010 - BOLONIA - ITALIA;18.359,51;18.359,51;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PSEC1 - INTEGRADO FRESCOS REINO UNIDO 2010;5.156,84;5.156,84;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 JAPÓN 2010 - LISTADO IMPORTADORES;3.809,54;3.809,54;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2)LICENSING INTERNATIONAL EXPO-10;7.222,93;7.222,93;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 SIAL 2010, PARIS (PC);38.968,35;38.968,35;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (3)- NAFSA 2010;399,95;399,95;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - INTERSOLAR 2010 - MUNICH (ALEMANIA);8.202,07;8.202,07;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO HISPANO-EGIPCIO;2.426,04;2.426,04;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO HISPANO-EGIPCIO;7.924,14;7.924,14;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP01 FOOD AND HOTEL CHINA 2010 - SHANGHAI;3.137,22;3.137,22;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - SIAM 2010 - MEQUINEZ (MARRUECOS);993,05;993,05;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (4)- NAFSA 2010;1.306,92;1.306,92;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV JAPON 2010 - NEWSLETTER;3.832,92;3.832,92;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 JAPON 2010 - CATAS Y SEMINARIOS (PI);13.823,20;13.823,20;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV EEUU 2010 ACCESO USA BUSQUEDA DE DISTRIBUCION;11.888,60;11.888,60;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF6 - COSMOPROF 2010 - BOLONIA - ITALIA;5.241,45;5.241,45;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO INTERAVTO 2010- MOSCÚ (RUSIA);940,70;940,70;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO10-FOOD - HOTEL ASIA´10-SINGAPUR-EQ. HOSTELERÍA;1.658,71;1.658,71;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV DINAMARCA - PUBLICIDAD 2010 (PU);5.547,83;5.547,83;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);MINV6 F.ALIMENTARIA 2010 BARCELONA(PC);18.289,13;18.289,13;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 JAPÓN 2010 - INSERCIÓN WINE KINGDOM (PI);14.943,75;14.943,75;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV EEUU 2010 GREAT MATCH;40.145,53;40.145,53;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV ALEMANIA 2010- PROM. CANAL HORECA Y COMERCIO;27.370,22;27.370,22;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV ALEMANIA 2010 CONC. MEJORES V. ESPAÑOLES ALEM.;22.457,64;22.457,64;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 VINEXPO ASIA-PACIFIC, Hong Kong (China);6.094,10;6.094,10;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP03 SEOUL FOOD - HOTEL 2010;14.565,10;14.565,10;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 FOOD - HOTEL ASIA 2010 (SINGAPUR);4.511,22;4.511,22;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 SIAL 2010, PARIS (PC);3.584,17;3.584,17;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 ALIMENTARIA 2010 - MÉXICO;2.396,67;2.396,67;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP06-LONDON WINE 2010 - LONDRES (PC);750,38;750,38;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 ALIMENTARIA 2010 - MÉXICO;62,68;62,68;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO ESPAÑA-PERÚ;10.522,95;10.522,95;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO ESPAÑA-PERÚ;2.571,75;2.571,75;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 1 COSMOPROF ASIA 2010 - HONG KONG - CHINA;34.250,20;34.250,20;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPI - GLOBE 2010 - VANCOUVER (CANADÁ);2.301,42;2.301,42;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP03- INTERAUTO 2010 - MOSCU (RUSIA);557,22;557,22;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 HOSPITALITY - DESIGN 2010 - LAS VEGAS EE.UU.;11.890,33;11.890,33;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 FOOD - HOTEL ASIA 2010-SINGAPUR;772,26;772,26;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 - SIAM 2010 - MEQUINEZ (MARRUECOS);48,01;48,01;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM JAMÓN SERRANO FRANCIA 2010;13.758,07;13.758,07;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM JAMÓN -SERRANO ALEMANIA 2010;25.218,46;25.218,46;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP02 - CTT 2010 - MOSCÚ (RUSIA);2.706,59;2.706,59;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(4)LICENSING INTERNATIONAL EXPO-10;2.401,32;2.401,32;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 SIEE POLLUTEC ORAN 17-20 mayo 2010;18.758,97;18.758,97;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 FRANCIA 2010-PROM.VINOS ESP.LAVINIA (PU);9.963,78;9.963,78;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 2 COSMOPROF ASIA 2010 - HONG KONG - CHINA;57.274,55;57.274,55;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV JAPON 2010 ELABORACION GUIA BARES DE TAPAS;3.986,71;3.986,71;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 - COLLECTION PREMIERE II - MOSCU - 2010;63.653,33;63.653,33;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);MINV11 F.ALIMENTARIA-2010 BARCELONA (PC);3.235,33;3.235,33;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO - CHINA EDUCATION EXPO 2010 - BEIJING;38.890,88;38.890,88;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITUNA REPÚBLICA CHECA 2010;6.521,06;6.521,06;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITUNA AUSTRALIA 2010;13.237,72;13.237,72;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA AUSTRALIA 2010;6.657,17;6.657,17;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 IMTEX 2011 BANGALORE INDIA 20-26 ENERO 2011;1.207,01;1.207,01;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITUNA POLONIA 2010;13.284,08;13.284,08;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA POLONIA 2010;3.791,56;3.791,56;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (7)- NAFSA 2010;1.353,48;1.353,48;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN EN REINO UNIDO - PHE;155.253,31;155.059,91;2007
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN EN FRANCIA - PHE;70.941,47;70.564,63;2007
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA PROMO PUBLIRREPORTAJE TECHNOLOGY REVIEW;65.917,61;65.917,61;2007
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM JAMÓN SERRANO FRANCIA 2007 (PC);51.835,07;51.835,07;2007
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPROM JAMÓN SERRANO ALEMANIA 2007(PU);58.471,00;58.471,00;2007
Instituto Español de Comercio Exterior (ICEX) (MINECO);EXP3-REINVENTANDO EL CALZADO-TOKIO-2007;49.216,47;49.216,47;2007
Instituto Español de Comercio Exterior (ICEX) (MINECO);ACEITUNA RUSIA 2007;19.035,29;19.035,29;2007
