Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;29.179,13;27.720,17;2012
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;12.349,71;10.595,12;2009
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;37.117,54;33.869,94;2011
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;69.757,89;63.654,41;2011
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;31.611,18;28.845,36;2011
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;7.923,11;7.526,95;2012
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;46.527,98;42.457,01;2011
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;41.872,08;38.208,48;2012
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;15.776,32;14.987,50;2012
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;11.254,76;10.270,03;2011
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;6.686,61;6.101,57;2012
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;52.797,48;50.713,64;2009
VIRTUALWARE 2007 S.A.;VIRTUALWARE 2007 S.A.;53.490,22;48.810,08;2012
VISIONA E-SOLUTIONS CONSULTORÍA SOFTWARE Y;PRONUE 07 - VISIONA E-SOLUTIONS CONSULTORÍA;7.617,23;7.368,15;2008
;COMUNICACION
VISIONA E-SOLUTIONS CONSULTORÍA SOFTWARE Y;AUSARTU 08 - VISIONA E-SOLUTIONS, S.L.;5.880,73;5.880,73;2009
;COMUNICACIÓN, S.L.
VISOL INGENIERÍA Y SISTEMAS, S.L. EN CONSTITUCIÓN;AUSARTU 08 - VISOL INGENIERÍA Y SISTEMAS, S.L. EN;20.000,00;0,00;2009
;CONSTITUCIÓN
VITAII ARQ, S.C.;PRONUE 07 - VITAII ARQ, S.C.;307,90;297,83;2008
VITAII-ARQ, S.C.;PRONUE 07 - VITAII ARQ, S.C.;3.143,02;3.040,24;2008
VITORIANA PLASTICA S.A.;VITORIANA PLASTICA S.A.;37.900,59;36.005,56;2012
VITORIANA PLASTICA S.A.;VITORIANA PLASTICA S.A.;14.232,59;13.404,56;2010
VITORIANA PLASTICA S.A.;VITORIANA PLASTICA S.A.;32.625,90;30.994,60;2012
VITORIANA PLASTICA S.A.;VITORIANA PLASTICA S.A.;42.877,34;42.877,34;2008
VITTEK METROLOGY S.L. UNIPERSONAL;HEXAGON SYSTEMS S.L. UNIPERSONAL;68.491,69;62.499,00;2011
VITTEK METROLOGY S.L. UNIPERSONAL;VITTEK METROLOGY S.L. UNIPERSONAL;7.000,00;6.592,76;2010
VITTEK METROLOGY, S.L.U.;SAIATU 09 - VITTEK METROLOGY, S.L.U.;10.000,00;10.000,00;2010
VIVERO SOROA S.L.;VIVERO SOROA S.L.;18.290,35;0,00;2009
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;14.588,24;14.012,47;2009
VOCENTO MEDIATRADER S.L.;VOCENTO MEDIATRADER S.L.;42.631,25;39.609,64;2008
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;62.166,94;0,00;2010
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;55.358,16;0,00;2010
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;48.472,48;46.559,34;2009
VOCENTO MEDIATRADER S.L.;VOCENTO MEDIATRADER S.L.;30.800,00;28.350,51;2008
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;33.818,72;0,00;2010
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;45.619,31;41.627,84;2011
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;41.914,57;38.247,25;2011
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;55.944,13;0,00;2010
VOCENTO MEDIATRADER S.L.;COMUNICA MEDIATRADER S.L.U.;47.966,73;42.917,33;2010
VOCENTO MEDIATRADER S.L.;VOCENTO MEDIATRADER S.L.;11.543,98;10.725,76;2008
VOICE CONSULTING S.L.;VOICE CONSULTING S.L.;19.513,09;17.805,79;2012
VOLBAS S.A.;VOLBAS S.A.;36.767,97;34.929,57;2012
VOLBAS S.A.;VOLBAS S.A.;29.049,30;29.049,30;2008
VOLBAS S.A.;VOLBAS S.A.;31.231,85;31.231,85;2013
VOLBAS S.A.;VOLBAS S.A.;30.831,30;29.289,74;2012
VTL CERRADURA Y HERRAJES S.L.;VTL CERRADURA Y HERRAJES S.L.;20.304,35;15.734,04;2009
VTL CERRADURAS Y HERRAJES, S.L. UNIPERSONAL;SAIATU 08 - VTL CERRADURAS Y HERRAJES, S.L. UNIPERSONAL;4.072,20;4.072,00;2009
VTL CERRADURAS Y HERRAJES, S.L.U.;SAIATU 10 - VTL CERRADURAS Y HERRAJES, S.L.U.;3.071,40;2.032,50;2011
VTL Cerraduras y Herrajes, S.L.U;SAIATU 11 - VTL CERRADURAS Y HERRAJES, S.L.U.;12.700,00;12.700,00;2012
W. DIAMANT HERRAMIENTAS, SA;W. DIAMANT HERRAMIENTAS, SA;11.244,70;11.025,67;2010
W. DIAMANT HERRAMIENTAS, SA;W. DIAMANT HERRAMIENTAS, SA;37.944,27;0,00;2009
W. DIAMANT HERRAMIENTAS, SA;W. DIAMANT HERRAMIENTAS, SA;73.387,91;69.718,51;2012
W. DIAMANT HERRAMIENTAS, SA;W. DIAMANT HERRAMIENTAS, SA;834,67;834,67;2012
WALTER PACK S.L.;WALTER PACK S.L.;3.000,00;2.941,57;2010
WAT DIRECCIONES, S.A.;FPA AUTOMECHANIKA 2008 - SERNAUTO;3.022,49;3.022,49;2009
WAT DIRECCIONES, S.A.;FPA-AUTOMECHANIKA 2010-FRANKFURT-SERNAUTO;4.465,78;4.465,78;2011
WAT DIRECCIONES S.A.;WAT DIRECCIONES S.A.;21.533,18;18.458,70;2008
WAT DIRECCIONES S.A.;WAT DIRECCIONES S.A.;12.000,00;10.427,26;2010
WAT DIRECCIONES S.A.;WAT DIRECCIONES S.A.;40.963,14;40.963,14;2013
WATTIOCORP SLU;WATTIOCORP SLU;14.788,33;14.788,33;2013
WEBALIANZA TI, S.L.;WEBALIANZA TI, S.L.;9.635,85;8.792,77;2011
