Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
FECHA:;20-OCT-14 10:59:35
;USUARIO: KG000211
;(inf_operbenefi.rdf)
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO ESPAÑA-BRASIL;3.517,80;3.517,80;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP02 FOODEX 2010-JAPON (TOKIO) PC;10.701,93;10.701,93;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 SEOUL FOOD - HOTEL 2010 (PI);3.344,91;3.344,91;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 SIAL PARÍS 2010;13.389,46;13.389,46;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2) - NAFSA 2010;10.470,04;10.470,04;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP02 - FERIA CMEF 2010 - SHENZHEN (R.P. CHINA);13.956,13;13.956,13;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 VINEXPO ASIA-PACIFIC, Hong Kong (China);643,42;643,42;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV EEUU 2009-FOOD-WINE MAGAZINE CLASSIC ASPEN(PI);1.960,82;1.960,82;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO-CTIA WIRELESS 2010-LAS VEGAS-NEVADA(EE.UU.);9.026,28;9.026,28;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 PRODEXPO 2010 - MOSCU;316,46;316,46;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO HISPANO-BRASILEÑO;7.901,10;7.901,10;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2)CTIA WIRELESS 2010-LAS VEGAS-NEVADA(EE.UU);5.394,42;5.394,42;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP03LONDON WINE 2010 - LONDRES (PC);6.009,05;6.009,05;2009
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 1 FOOD - HOTEL ASIA 2010, SINGAPUR;6.260,18;6.260,18;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV REINO UNIDO 2010 WFS TRADE FAIR;2.244,48;2.244,48;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 - INTERSOLAR 2010 -MUNICH (ALEMANIA);20.959,12;20.959,12;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 BIO INTERN. CONVENTION 2010 CHICAGO 3-6 MAYO;31.878,50;31.878,50;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 BIO INTERN. CONVENTION 2010 CHICAGO 3-6 MAYO;1.016,77;1.016,77;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP02 - FERIA CABSAT 2010 - DUBAI (E.A.U.);54.410,88;54.410,88;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP03 - FERIA CABSAT 2010 - DUBAI (E.A.U.);2.561,62;2.561,62;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 - FERIA CMEF 2010 - SHENZHEN (R.P. CHINA);26.754,03;26.754,03;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF2 - COSMOPROF 2010 - BOLONIA - ITALIA;11.796,04;11.796,04;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 FOODEX 2010, Tokio (PC);852,04;852,04;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF2 - SPIELWARENMESSE 2010 - NÜREMBERG;2.774,76;2.774,76;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 PRODEXPO 2010 - MOSCU;1.237,98;1.237,98;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 GULFOOD 2010 - DUBAI (PC);577,97;577,97;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 ALIMENTARIA 2010, MÉXICO;2.847,28;2.847,28;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 SIAL 2010, PARIS (PC);5.834,30;5.834,30;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF4 - SPIELWARENMESSE 2010 - NÜREMBERG;7.396,23;7.396,23;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF2-FRUITLOGISTICA 2010 BERLIN;1.514,96;1.514,96;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - COLLECTION PREMIERE I - MOSCÚ - 2010;811,24;811,24;2010
